id	name	pretty_name	so_terms	rna_type	description	seed_count	full_count	clan_id	length
RF00128	GlmY_tke1	Glm Y RNA activator of glmS mRNA	SO:0000655	Gene; sRNA;	This family consists of a number of bacterial RNA genes of around 167 bases in length. The tke1 RNA gene is present in Escherichia coli, Shigella flexneri, Yersinia pestis and Salmonella species where it is found between the yfhK and purL genes. The function of this RNA is unknown.	17	123	CL00011	163
RF00129	mir-103	mir-103/107 microRNA precursor	SO:0001244	Gene; miRNA;	This family consists of the mammalian microRNA (miRNA) precursors mir-103 and mir107. Animal miRNAs are transcribed as ~70nt precursors and subsequently processed by the Dicer enzyme to give a ~22nt product. In this case the mature sequence comes from the 3' arm of the precursor. The extents of the hairpin precursors are not generally known and are estimated based on hairpin prediction. The products are thought to have regulatory roles through complementarity to mRNA. The involvement of Dicer in miRNA processing suggests a relationship with the phenomenon of RNA interference. miRNAs are numbered based on the sequence of the mature RNA.	28	312	NULL	78
RF00130	mir-192	mir-192/215 microRNA precursor	SO:0001244	Gene; miRNA;	This family represents the human microRNA (miRNA) precursors mir-192 and mir-215. Animal miRNAs are transcribed as ~70nt precursors and subsequently processed by the Dicer enzyme to give a ~22nt product. In this case the mature sequence comes from the 5' arm of the precursor. The extents of the hairpin precursors are not generally known and are estimated based on hairpin prediction. The products are thought to have regulatory roles through complementarity to mRNA. The involvement of Dicer in miRNA processing suggests a relationship with the phenomenon of RNA interference. miRNAs are numbered based on the sequence of the mature RNA.	41	148	NULL	106
RF00131	mir-30	mir-30 microRNA precursor	SO:0001244	Gene; miRNA;	This family consists of the mammalian microRNA (miRNA) precursor mir-30a. Animal miRNAs are transcribed as ~70nt precursors and subsequently processed by the Dicer enzyme to give a ~22nt product. In this case the mature sequence comes from both the 3' (miR-30) [1] and 5' (mir-97-6) [2] arms of the precursor. The extents of the hairpin precursors are not generally known and are estimated based on hairpin prediction. The products are thought to have regulatory roles through complementarity to mRNA. The involvement of Dicer in miRNA processing suggests a relationship with the phenomenon of RNA interference. miRNAs are numbered based on the sequence of the mature RNA.	49	603	NULL	60
RF00132	snoR24	Small nucleolar RNA R24	SO:0000593	Gene; snRNA; snoRNA; CD-box;	snoR24 is a C/D box small nucleolar RNA which acts as a methylation guide for 18S ribosomal RNA in plants [1].	12	373	NULL	97
RF00133	SNORD33	Small nucleolar RNA Z195/SNORD33/SNORD32 family	SO:0000593	Gene; snRNA; snoRNA; CD-box;	Members of this family belong to the C/D box class of small nucleolar RNA which contain C (UGAUGA) and D (CUGA) box motifs. This family includes plant snoRNA Z195, human snoRNAs SNORD33 (U33) and SNORD32 (U32). snoRNA U33 is found in intron 4 of the ribosomal protein L13a gene in humans and is also present in mice. Most of the members of the box C/D family function in directing site-specific 2'-O-methylation of substrate RNAs. Although the selection of the target nucleotide requires the antisense element and the conserved box D or D' of the snoRNA, the methyltransferase activity is supposed to reside in one of the protein components [3].	72	376	CL00054	85
RF00134	snoZ196	Small nucleolar RNA Z196/R39/R59 family	SO:0000593	Gene; snRNA; snoRNA; CD-box;	This family includes plant snoRNA snoZ196 and yeast snoRNAs R39 and R59. Members of this family belong to the C/D box class of snoRNA which contain C (UGAUGA) and D (CUGA) box motifs. Most of the members of the box C/D family function in directing site-specific 2'-O-methylation of substrate RNAs. snoZ196 acts as a methylation guide for 18S ribosomal RNA in plants [1].Although the selection of the target nucleotide requires the antisense element and the conserved box D or D' of the snoRNA, the methyltransferase activity is supposed to reside in one of the protein components [4].	22	198	CL00054	85
RF00135	snoZ223	Small nucleolar RNA Z223	SO:0000593	Gene; snRNA; snoRNA; CD-box;	snoRNA Z223 is a member of the C/D class of snoRNA which contain the C (UGAUGA) and D (CUGA) box motifs identified in rice. C/D box small nucleolar RNAs are known to act as a methylation guides for 18S ribosomal RNA in plants [1].	5	286	CL00051	94
RF00136	SNORD81	Small nucleolar RNA SNORD81	SO:0000593	Gene; snRNA; snoRNA; CD-box;	U81 is a member of the C/D class of snoRNA which contain the C (UGAUGA) and D (CUGA) box motifs. U81 acts as a guanine methylation guide and is found in intron 11 of the gas5 gene in mammals [1]. This RNA has also been called Z23 snoRNA.	22	86	CL00050	77
RF00137	SNORD83	Small nucleolar RNA SNORD83	SO:0000593	Gene; snRNA; snoRNA; CD-box;	U83 (SNORD83) and U84 (SNORD84) are members of the C/D class of snoRNA which contain the C (UGAUGA) and D (CUGA) box motifs. They act as guanine methylation guides but lack complementarity to ribosomal RNA [1]. U83 and U84 are spliced from introns 5 and 4 of the BAT1 gene in mammals.	7	221	NULL	78
RF00138	SNORD16	Small nucleolar RNA SNORD16	SO:0000593	Gene; snRNA; snoRNA; CD-box;	U16 is a member of the C/D class of snoRNA which contain the C (UGAUGA) and D (CUGA) box motifs. U81 acts as a guanine methylation guide and is found in an intron of ribosomal proteins L1 gene in animals [1]. This snoRNA was independently named MBII-98 in mouse [2].	5	202	CL00046	100
RF00139	SNORA72	Small nucleolar RNA SNORA72	SO:0000594	Gene; snRNA; snoRNA; HACA-box;	U72 is a member of the H/ACA class of snoRNAs. The snoRNA gene is located in intron 4 of the ribosomal L30 protein gene in human, mouse and chicken.	29	322	NULL	132
RF00140	Alpha_RBS	Alpha operon ribosome binding site	SO:0000233	Cis-reg;	The bacterial alpha operon ribosome binding site is surrounded by this complex pseudoknotted structure. Translation of the mRNA produces 4 ribosomal protein products, one of which (S4) acts as a translational repressor by binding to the nested pseudoknot region. The mechanism of repression is thought to involve a conformational switch in the pseudoknot region and ribosome entrapment [1].	39	436	NULL	110
RF00142	snoZ118	Small nucleolar RNA Z118/Z121/Z120	SO:0001263	Gene; snRNA; snoRNA; CD-box;	This family consists of several snoRNA Z118, Z121 and Z120 sequences which are members of the C/D class of snoRNA which contain the C (UGAUGA) and D (CUGA) box motifs. This family seems to be found exclusively in rice. C/D box small nucleolar RNAs are known to act as a methylation guides for 18S ribosomal RNA in plants [1].	7	226	NULL	108
RF00143	mir-6	mir-6 microRNA precursor	SO:0001244	Gene; miRNA;	This family consists of the microRNA (miRNA) precursor mir-6 which appears to be Drosophila specific. Animal miRNAs are transcribed as ~70nt precursors and subsequently processed by the Dicer enzyme to give a ~22nt product. In this case the mature sequence comes from the 3' arm of the precursor. The extents of the hairpin precursors are not generally known and are estimated based on hairpin prediction. The products are thought to have regulatory roles through complementarity to mRNA. The involvement of Dicer in miRNA processing suggests a relationship with the phenomenon of RNA interference. miRNAs are numbered based on the sequence of the mature RNA.	24	38	CL00083	77
RF00144	mir-199	mir-199 microRNA precursor	SO:0001244	Gene; miRNA;	This family consists of the microRNA (miRNA) precursor mir-199 which appears to be specific to humans. Animal miRNAs are transcribed as ~70nt precursors and subsequently processed by the Dicer enzyme to give a ~22nt product. In this case the mature sequence comes from the 3' arm of the precursor. The extents of the hairpin precursors are not generally known and are estimated based on hairpin prediction. The products are thought to have regulatory roles through complementarity to mRNA. The involvement of Dicer in miRNA processing suggests a relationship with the phenomenon of RNA interference. miRNAs are numbered based on the sequence of the mature RNA.	40	270	NULL	102
RF00145	snoZ105	Small nucleolar RNA Z105	SO:0000593	Gene; snRNA; snoRNA; CD-box;	This family consists of several snoRNA Z105 sequences which are members of the C/D class of snoRNA which contain the C (UGAUGA) and D (CUGA) box motifs. This family seems to be found exclusively in plants. C/D box small nucleolar RNAs are known to act as a methylation guides for 18S ribosomal RNA [1].	11	174	NULL	72
RF00147	SNORD34	Small nucleolar RNA SNORD34	SO:0000593	Gene; snRNA; snoRNA; CD-box;	snoRNA U34 is found in intron 5 of the ribosomal protein L13a gene in humans. U34 is a member of the C/D class of snoRNA which contain C (UGAUGA) and D (CUGA) box motifs, and functions in directing site-specific 2'-O-methylation of 25S rRNAs. Although the selection of the target nucleotide requires the antisense element and the conserved box D or D' of the snoRNA, the methyltransferase activity is thought to reside in one of the protein components [1]. U34 snoRNA has homologues in mouse, Arabidopsis (annotated as snoR4) and in several copies in rice (alternatively named snoZ181) [2]. This family also contains a putative homologue in Drosophila (Griffiths-Jones SR, pers. obs.).	14	346	CL00055	80
RF00149	snoZ103	Small nucleolar RNA Z103	SO:0000593	Gene; snRNA; snoRNA; CD-box;	This family consists of several snoRNA Z103 sequences which are members of the C/D class of snoRNA which contain the C (UGAUGA) and D (CUGA) box motifs. This family seems to be found exclusively in plants. C/D box small nucleolar RNAs are known to act as a methylation guides for 18S ribosomal RNA [1].	12	1236	NULL	100
RF00150	SNORD42	Small nucleolar RNA SNORD42	SO:0000593	Gene; snRNA; snoRNA; CD-box;	snoRNA U42 is found in intron 3 of the ribosomal protein L23a (RPL23a) gene in humans and is also present in mice. U42 is a member of the C/D class of snoRNA which contain C (UGAUGA) and D (CUGA) box motifs. Most of the members of the box C/D family function in directing site-specific 2'-O-methylation of substrate RNAs. Although the selection of the target nucleotide requires the antisense element and the conserved box D or D' of the snoRNA, the methyltransferase activity is supposed to reside in one of the protein components [1].	7	164	NULL	68
RF00151	SNORD58	Small nucleolar RNA SNORD58	SO:0000593	Gene; snRNA; snoRNA; CD-box;	snoRNA U58 is found in introns 1, 3 and 6 of the ribosomal protein RPL17 gene in humans. U58 is a member of the C/D class of snoRNA which contain C (UGAUGA) and D (CUGA) box motifs. Most of the members of the box C/D family function in directing site-specific 2'-O-methylation of substrate RNAs. U58A and U58B are predicted to guide 2'O-ribose methylation of the large 28S rRNA subunit on position G4198 [2]. Although the selection of the target nucleotide requires the antisense element and the conserved box D or D' of the snoRNA, the methyltransferase activity is supposed to reside in one of the protein components [1].	33	400	CL00064	65
RF00152	SNORD79	Small nucleolar RNA SNORD79	SO:0000593	Gene; snRNA; snoRNA; CD-box;	snoRNA U79 or Z22 is found in intron 7 of the gas5 gene in humans and is also present in mice. U79 is a member of the C/D class of snoRNA which contain C (UGAUGA) and D (CUGA) box motifs. Most of the members of the C/D box family function in directing site-specific 2'-O-methylation of substrate RNAs. Although the selection of the target nucleotide requires the antisense element and the conserved box D or D' of the snoRNA, the methyltransferase activity is supposed to reside in one of the protein components [1].	28	117	CL00069	83
RF00153	SNORD62	Small nucleolar RNA SNORD62	SO:0000593	Gene; snRNA; snoRNA; CD-box;	snoRNA U62 is found in both humans and mice. U62 is a member of the C/D class of snoRNA which contain C (UGAUGA) and D (CUGA) box motifs. Most of the members of the box C/D family function in directing site-specific 2'-O-methylation of substrate RNAs. Although the selection of the target nucleotide requires the antisense element and the conserved box D or D' of the snoRNA, the methyltransferase activity is supposed to reside in one of the protein components [1].	14	138	CL00068	86
RF00154	SNORD63	Small nucleolar RNA SNORD63	SO:0000593	Gene; snRNA; snoRNA; CD-box;	snoRNA U63 is found in both humans and mice. U63 is a member of the C/D class of snoRNA which contain C (UGAUGA) and D (CUGA) box motifs. Most of the members of the box C/D family function in directing site-specific 2'-O-methylation of substrate RNAs. Although the selection of the target nucleotide requires the antisense element and the conserved box D or D' of the snoRNA, the methyltransferase activity is supposed to reside in one of the protein components [1].	23	122	NULL	70
RF00155	SNORA66	Small nucleolar RNA SNORA66	SO:0000594	Gene; snRNA; snoRNA; HACA-box;	snoRNA U66 is found in both humans and mice. U66 is a member of the H/ACA class of snoRNA which contain H (ANANNA) and ACA box motifs. H/ACA box snoRNAs are involved in the conversion of uridines to pseudouridines (5-ribosyluracil) a constituent of structural RNAs (transfer, ribosomal, small nuclear, and small nucleolar) [1,2].	25	209	CL00038	133
RF00156	SNORA70	Small nucleolar RNA SNORA70	SO:0000594	Gene; snRNA; snoRNA; HACA-box;	snoRNA U70 seems to be exclusive to mammals and is a member of the H/ACA class of snoRNA which contain H (ANANNA) and ACA box motifs. H/ACA box snoRNAs are involved in the conversion of uridines to pseudouridines (5-ribosyluracil) a constituent of structural RNAs (transfer, ribosomal, small nuclear, and small nucleolar) [1,2].	43	1100	NULL	135
RF00157	SNORD39	Small nucleolar RNA SNORD55/SNORD39	SO:0000593	Gene; snRNA; snoRNA; CD-box;	snoRNA U39 (SNORD55), also described as U55 in [2], is a member of the C/D class of snoRNA which contain C (UGAUGA) and D (CUGA) box motifs [1]. U39 guides the methylation of 2'-O-ribose residues in 28S ribosomal RNA [1].	20	176	CL00057	80
RF00158	SNORD82	Small nucleolar RNA SNORD82	SO:0000593	Gene; snRNA; snoRNA; CD-box;	snoRNA U82 or Z25 is found in both humans and mice. U82/Z25 is a member of the C/D class of snoRNA which contain C (UGAUGA) and D (CUGA) box motifs. Most of the members of the box C/D family function in directing site-specific 2'-O-methylation of substrate RNAs. Although the selection of the target nucleotide requires the antisense element and the conserved box D or D' of the snoRNA, the methyltransferase activity is supposed to reside in one of the protein components [1].	27	107	NULL	70
RF00159	snoZ168	Small nucleolar RNA Z168/Z174	SO:0001263	Gene; snRNA; snoRNA; CD-box;	This family consists of several snoRNA Z168 and Z174 sequences which are members of the C/D class of snoRNA which contain the C (UGAUGA) and D (CUGA) box motifs. This family seems to be found exclusively in rice. C/D box small nucleolar RNAs are known to act as a methylation guides for 18S ribosomal RNA in plants [1].	6	46	NULL	82
RF00160	snoZ159	Small nucleolar RNA Z159/U59	SO:0000593	Gene; snRNA; snoRNA; CD-box;	This family consists of several snoRNA Z159 or U59 sequences which are members of the C/D class of snoRNA which contain the C (UGAUGA) and D (CUGA) box motifs. This family seems to be found exclusively in rice. C/D box small nucleolar RNAs are known to act as a methylation guides for 18S ribosomal RNA in plants [1].	10	353	CL00065	87
RF00161	nos_TCE	Nanos 3' UTR translation control element	SO:0000205	Cis-reg;	The Nanos protein in Drosophila is required for correct anterior/posterior patterning in the Drosophila embryo. Translation of the nanos mRNA is repressed in the bulk cytoplasm and activated in the posterior region. Repression is mediated by a translation control element (TCE) in the 3' UTR of the mRNA. This element forms a Y-shaped structure, part of which is recognised by the Smaug protein leading to translational repression [1].	9	5	NULL	64
RF00162	SAM	SAM riboswitch (S box leader)	SO:0000035	Cis-reg; riboswitch;	The SAM riboswitch is found upstream of a number of genes which code for proteins involved in methionine or cysteine biosynthesis in Gram-positive bacteria. The SAM riboswitch acts at the level of transcription termination control. The predicted structure consists of a complex stem-loop region followed by a single stem loop terminator region. An alternative and mutually exclusive form involves bases in the 3' segment of helix 1 with those in the 5' region of helix 5 to form a structure termed the anti-terminator form [1]. This entry represents the conserved core of the complex structure involving helices 1-4.	433	3961	CL00012	108
RF00163	Hammerhead_1	Hammerhead ribozyme (type I)	SO:0000380	Gene; ribozyme;	The hammerhead ribozyme is one of the smallest catalytic RNAs. These RNAs have an endonuclease function, and most often are autocatalytic. Structurally it is composed of three base paired helices, separated by short linkers of conserved sequence. These helices are called I, II and III. We have classified hammerhead ribozymes into three types based on which helix the 5' and 3' ends of the sequence join. This family are the type I hammerheads. The conserved uridine-turn links helix I to helix II and usually has the sequence CUGA. Helix II and III are linked by a sequence CGAAA. The cleavage reaction occurs between helix III and I, and is usually a C. Hammerhead ribozymes are found in plant viroids and other small replicating satellite RNA species. Hammerhead ribozymes have been found in animals as well as plants.	29	190567	CL00010	46
RF00164	s2m	Coronavirus 3' stem-loop II-like motif (s2m)	SO:0000233	Cis-reg;	The s2m motif is found in the 3' UTRs of astrovirus, coronavirus and equine rhinovirus genomes [1]. Its function is unknown, but various viral 3' UTR regions have been found to play roles in viral replication and packaging.	38	17	NULL	43
RF00165	Corona_pk3	Coronavirus 3' UTR pseudoknot	SO:0000205	Cis-reg;	Coronaviruses are plus-strand RNA viruses with ~30kb genomes. The 3' UTR region of coronavirus genomes contains a conserved ~55nt pseudoknot structure which has been shown to be necessary for viral genome replication [1]. The mechanism of cis-regulation is unclear, but this element is postulated to function in the plus-strand.	14	32	NULL	61
RF00166	PrrB_RsmZ	PrrB/RsmZ RNA family	SO:0000655	Gene; sRNA;	PrrB RNA is able to phenotypically complement gacS and gacA mutants and is itself regulated by the GacS-GacA two-component signal transduction system [1]. Inactivation of the prrB gene in Pseudomonas fluorescens F113 resulted in a significant reduction of 2, 4-diacetylphloroglucinol (Phl) and hydrogen cyanide (HCN) production, while increased metabolite production was observed when prrB was overexpressed [1]. The prrB gene sequence contains a number of imperfect repeats of the consensus sequence 5'-AGGA-3', and sequence analysis predicted a complex secondary structure featuring multiple putative stem-loops with the consensus sequences predominantly positioned at the single-stranded regions at the ends of the stem-loops. This structure is similar to the CsrB and RsmB regulatory RNAs Rfam:RF00018 [1], suggesting this RNA also interacts with a CsrA-like protein.	37	77	CL00106	133
RF00167	Purine	Purine riboswitch	SO:0000035	Cis-reg; riboswitch;	Riboswitches are metabolite binding domains within certain messenger RNAs that serve as precision sensors for their corresponding targets. Allosteric rearrangement of mRNA structure is mediated by ligand binding, and this results in modulation of gene expression. A class of riboswitches that selectively recognises guanine and becomes saturated at concentrations as low as 5 nM. In Bacillus subtilis, this mRNA motif is located on at least five separate transcriptional units that together encode 17 genes that are mostly involved in purine transport and purine nucleotide biosynthesis. It has also been shown that some members of this family are specific for adenine instead. Hence this family are termed purine riboswitches.	133	2070	NULL	102
RF00168	Lysine	Lysine riboswitch	SO:0000035	Cis-reg; riboswitch;	Riboswitches are metabolite binding domains within certain messenger RNAs that serve as precision sensors for their corresponding targets. Allosteric rearrangement of mRNA structure is mediated by ligand binding, and this results in modulation of gene expression. This family includes riboswitches that sense lysine [1] in a number of genes involved in lysine metabolism, including lysC [3].	47	1821	NULL	183
RF00169	Bacteria_small_SRP	Bacterial small signal recognition particle RNA	SO:0000590	Gene;	The signal recognition particle (SRP) is a universally conserved ribonucleoprotein involved in the co-translational targeting of proteins to membranes. The eukaryotic SRP consists of a 300-nucleotide 7S RNA (RFAM:RF00017) and six proteins: SRPs 72, 68, 54, 19, 14, and 9. Archaeal SRP consists of a 7S RNA and homologues of the eukaryotic SRP19 and SRP54 proteins. In most bacteria, the SRP consists of a 4.5S RNA and the Ffh protein (a homologue of the eukaryotic SRP54 protein). Some Gram-positive bacteria (e.g. Bacillus subtilis) have a longer eukaryote-like SRP RNA that includes an Alu domain [2]. The Alu domain of the longer SRP RNAs is not included in this model and therefore the reported bounds of some members are incorrect. The Signal Recognition Particle Database (SRPDB) [1] provides compilations of SRP components, with phylogenetic data and structural illustrations.	261	3343	CL00003	97
RF00170	msr	Retron msr RNA	SO:0000233	Gene;	Retron elements are found in a wide range of mainly Gram-negative bacteria. The retron encodes a reverse transcriptase that is responsible for the production of a small satellite DNA called msDNA (multi-copy single-stranded DNA). msDNA has both DNA (encoded by the retron msd gene) and RNA (encoded by the msr gene) components. The 5' end of msDNA is linked to an internal guanosine residue of the RNA strand by a 2'-5' linkage. The components of msDNA are poorly conserved in sequence between different organisms -- this family therefore represents only a subset of known msr genes. Despite considerable investigation, very little is known about the function of msDNA, the mobility of retron elements, or their effect on the host cell.	9	21	NULL	72
RF00171	Tombus_5	Tombusvirus 5' UTR	SO:0000204	Cis-reg;	Tomato bushy stunt virus is the prototype member of the Tombusviridae family. In addition to viral proteins p33 and the RNA-dependent RNA polymerase p92, and unknown host factors, RNA signals within the UTRs are necessary for genome replication. 2 RNA domains in the 5' UTR have been reported [1,2], a 5' T-shaped domain (TSD) followed by a stem-loop (SL5) and a downstream domain (DSD). These domains are combined into a single family here. Reference [2] proposes that TSD-DSD interactions are involved in the mediation of viral RNA replication. The full alignment of this family contains a number of defective interfering (DI) deletion mutants, used to study RNA virus replication.	9	3	NULL	166
RF00172	CAESAR	ctgf/hcs24 CAESAR	SO:0000233	Cis-reg;	The 3' UTR of human connective tissue growth factor/hypertrophic chondrocyte specific 24 (ctgf/hcs24) mRNA has been shown to repress ctgf gene expression [1]. Reference [2] identified a minimal RNA element, predicted to form a stable secondary structure, which acts as a post-transcriptional cis-acting element of structure-anchored repression (CAESAR), probably through direct interactions with as yet unknown nuclear factors.	9	86	NULL	80
RF00173	Hairpin	Hairpin ribozyme	SO:0000374	Gene; ribozyme;	The hairpin ribozyme, like the hammerhead (RFAM:RF00008 and RFAM:RF00163), is found in RNA satellites of plant viruses. It was first identified in the minus strand of the tobacco ringspot virus (TRSV) satellite RNA where it catalyses a self-cleavage reaction to process the products of rolling circle virus replication to unit-length satellite RNA. The structure consists of 2 domains, A and B. The 3' arm of domain A, which closes helices 1 and 2, contains the cleavage site and is linked to helix 3 of domain B by a linker of variable length and sequence. This region is thus not included in this family. The hairpin ribozyme has been identified in only 3 plant satellite RNAs -- from TRSV, chicory yellow mottle virus (CYMV) and arabis mosaic virus (ARMV).	5	3	NULL	52
RF00174	Cobalamin	Cobalamin riboswitch	SO:0000035	Cis-reg; riboswitch;	Riboswitches are metabolite binding domains within certain messenger RNAs that serve as precision sensors for their corresponding targets. Allosteric rearrangement of mRNA structure is mediated by ligand binding, and this results in modulation of gene expression [1]. This family represents a cobalamin riboswitch (B12-element) which is widely distributed in 5' UTRs of vitamin B(12)-related genes in bacteria. Cobalamin in the form of adenosylcobalamin (Ado-CBL) is known to repress expression of genes for vitamin B(12) biosynthesis and be transported by a post-transcriptional regulatory mechanism, which involves direct binding of Ado-CBL to 5' UTRs [2].	430	9244	CL00101	191
RF00175	HIV-1_DIS	Human immunodeficiency virus type 1 dimerisation initiation site	SO:0000233	Cis-reg;	This cis element is composed of four hairpins called SL1 to SL4 (SL is for Stem Loop). This element is involved in encapsidation of the retroviral RNA an essential step in replication [1-3]. It is found in HIV, SIV and CIV. It has been shown that SL1 may provide a secondary binding site for Rev [4]. SL1 [5], SL2 [6], SL3 [7] and SL4 [8] have been independently expressed and structurally characterised.	70	12	NULL	40
RF00176	Tombus_3_IV	Tombusvirus 3' UTR region IV	SO:0000205	Cis-reg;	Tomato bushy stunt virus is the prototype member of the Tombusviridae family. In addition to viral proteins p33 and the RNA-dependent RNA polymerase p92, and unknown host factors, RNA signals within the UTRs are necessary for genome replication. This element contains a pseudoknot [2].	18	2	NULL	92
RF00177	SSU_rRNA_bacteria	Bacterial small subunit ribosomal RNA	SO:0001263	Gene; rRNA;	NULL	99	15922	CL00111	1533
RF00178	mir-24	mir-24 microRNA precursor family	SO:0001244	Gene; miRNA;	This family represents the microRNA (miRNA) mir-24 family. miRNAs are transcribed as ~70nt precursors (modelled here) and subsequently processed by the Dicer enzyme to give a ~22nt product. In this case the mature sequence comes from the 3' arm of the precursor. The extents of the hairpin precursors are not generally known and are estimated based on hairpin prediction. The products are thought to have regulatory roles through complementarity to mRNA. The involvement of Dicer in miRNA processing suggests a relationship with the phenomenon of RNA interference. miRNAs are numbered based on the sequence of the mature RNA. miR-24 has been identified in human and mouse [1].	17	163	NULL	68
RF00179	GAIT	GAIT element	SO:0000233	Cis-reg;	This family represents a cis-acting element in the 3'-UTR of the ceruloplasmin (Cp) gene called gamma interferon inhibitor of translation (GAIT). The GAIT element is involved in selective translational silencing of the Cp transcript. Ceruloplasmin (Cp) is a multifunctional, copper-containing glycoprotein produced by the liver and secreted into the plasma. As an acute-phase protein, its plasma concentration can double during multiple inflammatory conditions. Plasma Cp has been reported to be an independent risk factor for cardiovascular disease, including atherosclerosis, carotid restenosis after endarterectomy, and myocardial infarction. Translational silencing of Cp, and possibly other transcripts, mediated by the GAIT element may contribute to the resolution of the local inflammatory response following cytokine activation of macrophages [1].	8	31	NULL	71
RF00180	REN-SRE	Renin stability regulatory element (REN-SRE)	SO:0000205	Cis-reg;	This family represents a cis-acting element in the 3'-UTR of the renin (REN) gene called renin stability regulatory element (REN-SRE) which acts to regulate renin production. REN-SRE is thought to destabilise the mRNA, promoting degradation of the sequence. It has been found that a number of proteins bind to the REN-SRE to stabilise the mRNA and promote translation. Renin is secreted by renal juxtaglomerular cells and catalyses the conversion of angiotensinogen into angiotensin I which is the rate-limiting step in the production of angiotensin II. Angiotensin II induces hypertension and REN therefore requires tight control to ensure expression appropriate to need [1].	13	33	NULL	37
RF00181	SNORD113	Small nucleolar RNA SNORD113/SNORD114 family	SO:0000593	Gene; snRNA; snoRNA; CD-box;	The imprinted human domain at 14q32 contains two clusters of tandemly repeated small nucleolar RNAs named 14q(I) and 14q(II) snoRNAs. These two clusters are named SNORD113 and SNORD114 respectively in the HGNC approved gene symbol nomenclature. The snoRNAs found in both clusters are clearly related and are represented here by a single family. These snoRNAs are intron encoded and are processed from the tissue-specific non-coding human MEG8 RNA, which lies downstream of the imprinted genes DLK1 and GTL2. snoRNAs 14q(I) and 14q(II) differ from previously identified C/D box snoRNAs in their expression profiles and lack of complementarity to rRNA and snRNA. Homologues of these snoRNAs are found in the imprinted non-coding mouse transcript Rian, and in the rat non-coding Bsr (brain-specific repetitive) RNA.	59	1414	CL00069	75
RF00182	Corona_package	Coronavirus packaging signal	SO:0000233	Cis-reg;	This family represents a predicted coronavirus packaging signal. Within a virally infected cell, viral genome and viral proteins specifically and selectively unite into progeny viruses [2]. This process is called packaging and is vital for viral replication. Viral RNA containing a packaging signal allows the sequence to be efficiently packaged into the virion [1].	3	9	NULL	129
RF00183	G-CSF_SLDE	G-CSF factor stem-loop destabilising element (SLDE)	SO:0000233	Cis-reg;	This family represents the granulocyte colony-stimulating factor stem-loop destabilising element (G-CSF SLDE). G-CSF is secreted by fibroblasts and endothelial cells in response to the inflammatory mediators interleukin-1 (IL-1) and tumour necrosis factor alpha and by activated macrophages. The synthesis of G-CSF is regulated both transcriptionally and through control of mRNA stability. In unstimulated cells G-CSF mRNA is unstable but becomes stabilised in response to IL-1 or tumour necrosis factor alpha, and also in the case of monocytes and macrophages, in response to lipopolysaccharide. It is likely that the presence of the SLDE in the G-CSF mRNA contributes to the specificity of regulation of G-CSF mRNA and enhances the rate of shortening of the poly(A) tail [1].	16	37	NULL	96
RF00184	PVX_3	Potato virus X cis-acting regulatory element	SO:0000205	Cis-reg;	This family represents a cis-acting regulatory element which is found in the 3' UTR of the Potato virus X genome. This element has been found to be required for minus strand RNA accumulation and is therefore essential for efficient viral replication [1].	4	1	NULL	54
RF00185	Flavi_CRE	Flavivirus 3' UTR cis-acting replication element (CRE)	SO:0000205	Cis-reg;	This family represents the Flavivirus 3'-SL cis-acting replication element (CRE). The family is thought to play a crucial role in replication and is thought to be needed for the formation of a "replication complex" [1]. Although evidence has been presented for an existence of a pseudoknot structure in this RNA [2], it does not appear to be well conserved across flaviviruses. Deletions of the 3' UTR of flaviviruses have been shown to be lethal for infectious clones.	84	9	NULL	96
RF00186	SNORD101	Small nucleolar RNA SNORD101	SO:0000593	Gene; snRNA; snoRNA; CD-box;	snoRNA U101 is a member of the C/D class of snoRNA which contain the C (UGAUGA) and D (CUGA) box motifs and guide the 2'-O-methylation of rRNA and snRNAs. The precise target of this family is unknown [1].	26	110	CL00074	73
RF00187	SNORD102	Small nucleolar RNA SNORD102	SO:0000593	Gene; snRNA; snoRNA; CD-box;	snoRNA U102 is a member of the C/D class of snoRNA which contain the C (UGAUGA) and D (CUGA) box motifs. It is found within intron 3 of the L21 ribosomal protein gene. The H/ACA box snoRNA ACA27 is found in the same host gene within a different intron [1]. This family is predicted to direct a highly conserved 2'-O-methylation in 28S rRNA [2].	11	83	NULL	72
RF00188	SNORD103	Small nucleolar RNA SNORD103/SNORD85	SO:0000593	Gene; snRNA; snoRNA; CD-box;	This family includes the snoRNAs SNORD103 (U103) and SNORD85 (HBII-251) . The members of this family belong to the C/D class of snoRNAs which contain the C (UGAUGA) and D (CUGA) box motifs. In the human genome, there are two identical copies of SNORD103 (SNORD103A and SNORD103B) which share the same host gene with SNORD85. All three snoRNAs are predicted to guide the 2'O-ribose methylation of 18S rRNA G601 [3].	41	269	NULL	83
RF00189	SNORD95	Small nucleolar RNA SNORD95	SO:0000593	Gene; snRNA; snoRNA; CD-box;	snoRNA U95 (also referred to as Z38 ) is a member of the C/D class of snoRNA which contain the C (UGAUGA) and D (CUGA) box motifs. This family is predicted to target two neighbouring 2'-O-methylations, Cm2801 and Am2792, in 28S rRNA [1].	7	52	NULL	68
