# RGD-PIPELINE: ftp-file-extracts
# MODULE: genes-version-2.2.5
# GENERATED-ON: 2018/01/05
# PURPOSE: information about active Rat genes extracted from RGD database
# CONTACT: rgd.data@mcw.edu
# FORMAT: tab delimited text
# NOTES: multiple values in a single column are separated by ';'
#
### As of Apr 1, 2011 RATMAP_IDs and RHDB_IDs are discontinued.
### As of Apr 15, 2011 GENE_REFSEQ_STATUS column is provided.
### As of Jul 1, 2011 fixed generation of CURATED_REF_PUBMED_IDs and UNCURATED_PUBMED_IDs
### As of Nov 23, 2011 ver 2.1.2: no format changes (UniGene Ids are extracted from db in different way).
### As of Dec 19, 2011 ver 2.1.2.1: no format changes (fixed documentation in header to be consistent with column names).
### As of May 31, 2012 ver 2.1.2.2: no format changes (improved generation speed).
### As of July 6, 2012 ver 2.1.2.3: no format changes (added generation of file GENES_RAT_5.0).
### As of Oct 23, 2012 ver 2.1.2.4: obsoleted column 23 'UNCURATED_REF_MEDLINE_ID' - changed to '(UNUSED)'.
### As of Dec 17, 2012 ver 2.1.2.5: no format changes.
### As of Aug 19, 2013 ver 2.1.2.6: gene descriptions made consistent with gene report pages from RGD website.
### As of Oct 2, 2014 ver 2.2: genes files refactored:
###   GENES_HUMAN_B38.txt retired -- added new columns to GENES_HUMAN.txt to accommodate positions for GRCh38.
###   GENES_MOUSE_B36.txt retired -- added new columns to GENES_MOUSE.txt to accommodate positions for assembly build 36.
###   GENES_RAT_5.0.txt and GENES_RAT_6.0.txt retired -- added new columns to GENES_RAT.txt to accommodate positions for Rnor_5.0 and Rnor_6.0.
### As of Feb 15, 2017 ver 2.2.2: HPRD_IDs are discontinued for human genes.
### As of May 25, 2017 ver 2.2.5: GENE_REFSEQ_STATUS is now published in column 23 for all species
###   during transition period, for rat, mouse and human, GENE_REFSEQ_STATUS will continue to be laso published in columns 39, 41 and 42 respectively
#
#COLUMN INFORMATION:
# (First 38 columns are in common between all species)
#
#1   GENE_RGD_ID	      the RGD_ID of the gene
#2   SYMBOL             official gene symbol
#3   NAME    	          gene name
#4   GENE_DESC          gene description (if available)
#5   CHROMOSOME_CELERA  chromosome for Celera assembly
#6   CHROMOSOME_3.1 chromosome for reference assembly build 3.1
#7   CHROMOSOME_3.4 chromosome for reference assembly build 3.4
#8   FISH_BAND          fish band information
#9   START_POS_CELERA   start position for Celera assembly
#10  STOP_POS_CELERA    stop position for Celera assembly
#11  STRAND_CELERA      strand information for Celera assembly
#12  START_POS_3.1   start position for reference assembly build 3.1
#13  STOP_POS_3.1    stop position for reference assembly build 3.1
#14  STRAND_3.1      strand information for reference assembly build 3.1
#15  START_POS_3.4   start position for reference assembly build 3.4
#16  STOP_POS_3.4    stop position for reference assembly build 3.4
#17  STRAND_3.4      strand information for reference assembly build 3.4
#18  CURATED_REF_RGD_ID     RGD_ID of paper(s) used to curate gene
#19  CURATED_REF_PUBMED_ID  PUBMED_ID of paper(s) used to curate gene
#20  UNCURATED_PUBMED_ID    PUBMED ids of papers associated with the gene at NCBI but not used for curation
#21  NCBI_GENE_ID           NCBI Gene ID
#22  UNIPROT_ID             UniProtKB id(s)
#23  GENE_REFSEQ_STATUS     gene RefSeq Status (from NCBI)
#24  GENBANK_NUCLEOTIDE     GenBank Nucleotide ID(s)
#25  TIGR_ID                TIGR ID(s)
#26  GENBANK_PROTEIN        GenBank Protein ID(s)
#27  UNIGENE_ID             UniGene ID(s)
#28  SSLP_RGD_ID            RGD_ID(s) of SSLPS associated with given gene
#29  SSLP_SYMBOL            SSLP symbol
#30  OLD_SYMBOL             old symbol alias(es)
#31  OLD_NAME               old name alias(es)
#32  QTL_RGD_ID             RGD_ID(s) of QTLs associated with given gene
#33  QTL_SYMBOL             QTL symbol
#34  NOMENCLATURE_STATUS    nomenclature status
#35  SPLICE_RGD_ID          RGD_IDs for gene splices
#36  SPLICE_SYMBOL          symbol for gene 
#37  GENE_TYPE              gene type
#38  ENSEMBL_ID             Ensembl Gene ID
#39  GENE_REFSEQ_STATUS_LEGACY legacy column -- use column 23 instead -- it will be discontinued in the future
#40  CHROMOSOME_5.0         chromosome for Rnor_5.0 reference assembly
#41  START_POS_5.0          start position for Rnor_5.0 reference assembly
#42  STOP_POS_5.0           stop position for Rnor_5.0 reference assembly
#43  STRAND_5.0             strand information for Rnor_5.0 reference assembly
#44  CHROMOSOME_6.0         chromosome for Rnor_6.0 reference assembly
#45  START_POS_6.0          start position for Rnor_6.0 reference assembly
#46  STOP_POS_6.0           stop position for Rnor_6.0 reference assembly
#47  STRAND_6.0             strand information for Rnor_6.0 reference assembly
#
GENE_RGD_ID	SYMBOL	NAME	GENE_DESC	CHROMOSOME_CELERA	CHROMOSOME_3.1	CHROMOSOME_3.4	FISH_BAND	START_POS_CELERA	STOP_POS_CELERA	STRAND_CELERA	START_POS_3.1	STOP_POS_3.1	STRAND_3.1	START_POS_3.4	STOP_POS_3.4	STRAND_3.4	CURATED_REF_RGD_ID	CURATED_REF_PUBMED_ID	UNCURATED_PUBMED_ID	NCBI_GENE_ID	UNIPROT_ID	GENE_REFSEQ_STATUS	GENBANK_NUCLEOTIDE	TIGR_ID	GENBANK_PROTEIN	UNIGENE_ID	SSLP_RGD_ID	SSLP_SYMBOL	OLD_SYMBOL	OLD_NAME	QTL_RGD_ID	QTL_SYMBOL	NOMENCLATURE_STATUS	SPLICE_RGD_ID	SPLICE_SYMBOL	GENE_TYPE	ENSEMBL_ID	GENE_REFSEQ_STATUS	CHROMOSOME_5.0	START_POS_5.0	STOP_POS_5.0	STRAND_5.0	CHROMOSOME_6.0	START_POS_6.0	STOP_POS_6.0	STRAND_6.0
1311226	Cdk13	cyclin-dependent kinase 13	ENCODES a protein that exhibits cyclin binding (ortholog); protein kinase binding (ortholog); RNA polymerase II carboxy-terminal domain kinase activity (ortholog); INVOLVED IN alternative mRNA splicing, via spliceosome (ortholog); hemopoiesis (ortholog); negative regulation of stem cell differentiation (ortholog); ASSOCIATED WITH CONGENITAL HEART DEFECTS, DYSMORPHIC FACIAL FEATURES, AND INTELLECTUAL DEVELOPMENTAL DISORDER (ortholog); Failure to Thrive (ortholog); Pleomorphic Xanthoastrocytoma  (ortholog); FOUND IN cyclin K-CDK13 complex (ortholog); cytosol (ortholog); Golgi apparatus (ortholog); INTERACTS WITH (S)-10-[(DIMETHYLAMINO)METHYL]-4-ETHYL-4,9-DIHYDROXY-1H-PYRANO[3',4':6,7]INOLIZINO[1,2-B]-QUINOLINE-3,14(4H,12H)-DIONE; bisphenol A; diazinon	17	17	17	q11	43336076	43426801	+	55071862	55237672	+	55146130	55235545	+	1580654;1600115;1580655;6480464;8554872		12477932;16721827;17261272;1731328;20952539;22012619;22547058;22664934;22681889	306998		VALIDATED	AABR07027930;AABR07027931;AAHX01091509;AAHX01091510;AAHX01091511;BC099163;CH474030;NM_001271295;NM_001271296		AAH99163;EDL87397;NP_001258224;NP_001258225	Rn.23420	39322;5047722;5077204;5503452	CDC2L5_3913;D17Rat74;RH132491;RH139622	Cdc2l5;LOC306998	cell division cycle 2-like 5;cell division cycle 2-like 5 (cholinesterase-related cell division controller);cell division protein kinase 13			APPROVED			protein-coding		VALIDATED	17	47889843	47979627	+	17	49833194	49922932	+
1563562	RGD1563562	similar to GTPase activating protein testicular GAP1	INVOLVED IN signal transduction (inferred)	2		2	q26	120493737	120535249	+				135456667	135506453	-	1600115			295012	D3ZH11	MODEL	AABR07010325;AABR07010326;AABR07010327;AABR07010328;AABR07010329;AABR07010330;AAHX01016555;AAHX01016556;AAHX01016557;XM_008775131;XM_017591249;XM_017591250;XM_017591251;XM_017591252;XM_017591253		XP_008773353;XP_017446738;XP_017446739;XP_017446740;XP_017446741;XP_017446742				LOC295012	uncharacterized protein RGD1563562			APPROVED			protein-coding	ENSRNOG00000042222	MODEL	2	151850427	151917025	-	2	132238755	132304243	-
1304744	Stx11	syntaxin 11	INVOLVED IN cellular response to interferon-gamma (ortholog); cytotoxic T cell degranulation (ortholog); natural killer cell degranulation (ortholog); ASSOCIATED WITH familial hemophagocytic lymphohistiocytosis 4 (ortholog); familial hemophagocytic lymphohistiocytosis 5 (ortholog); Lymphohistiocytosis, Hemophagocytic (ortholog); FOUND IN phagocytic vesicle (ortholog); INTERACTS WITH 1,3-dinitrobenzene; 2,3,7,8-tetrachlorodibenzodioxine; bisphenol A	1		1	p13	5794962	5820749	-				7683757	7685378	-	1580654;1580655;1600115;6480464;7240710;8554872		12477932;23042080;23190531	292483	A0A0G2K516;Q4KLK0	VALIDATED	AABR07000257;AAHX01001406;AAHX01001407;AAHX01001408;AAHX01001409;AAHX01001410;BC099159;CK478859;NM_001025638;XM_008758601		AAH99159;NP_001020809;XP_008756823	Rn.200930;Rn.52178			LOC102549741;LOC292483;MGC116325	syntaxin-11;uncharacterized LOC102549741			APPROVED			protein-coding	ENSRNOG00000014902	VALIDATED	1	8676470	8678091	-	1	7039160	7064870	-
1560812	Ccdc71l	coiled-coil domain containing 71-like	ASSOCIATED WITH Carcinoma, Ductal, Breast (ortholog); Pleomorphic Xanthoastrocytoma  (ortholog); INTERACTS WITH cadmium dichloride; indole-3-methanol; aflatoxin B1 (ortholog)	6		6	q16	48160311	48164031	+				50622965	50623768	+	6480464;8554872			500640		MODEL	AABR07063829;AAHX01043269;FQ228778;XM_003750141;XM_006225822		XP_003750189;XP_006225884	Rn.224565	5027447;5050188	AV375874;RH133912	LOC500640;RGD1560812	coiled-coil domain-containing protein 71L			APPROVED			protein-coding		MODEL	6	61296309	61303160	+	6	51659498	51666145	+
1311845	Cdadc1	cytidine and dCMP deaminase domain containing 1	ENCODES a protein that exhibits cytidine deaminase activity (ortholog); importin-alpha family protein binding (ortholog); protein homodimerization activity (ortholog); INVOLVED IN cytidine deamination (ortholog); DNA cytosine deamination (ortholog); FOUND IN cytoplasm (ortholog); nucleus (ortholog); INTERACTS WITH (S)-10-[(DIMETHYLAMINO)METHYL]-4-ETHYL-4,9-DIHYDROXY-1H-PYRANO[3',4':6,7]INOLIZINO[1,2-B]-QUINOLINE-3,14(4H,12H)-DIONE; 2,3,7,8-tetrachlorodibenzodioxine; 2,6-dinitrotoluene	15	15	15	p12	33449998	33461858	-	38691039	38702899	-	38675339	38687199	-	1580654;6480464		12477932	361052	A0A0G2KAJ9;Q5XIE7	PROVISIONAL	AAHX01083236;AC126002;BC083736;CH474023;FQ213068;NM_001012156;XM_006252123;XM_006252125;XM_006252126;XM_008770760		AAH83736;EDL85243;EDL85244;NP_001012156;XP_006252185;XP_006252187;XP_006252188;XP_008768982	Rn.76647			LOC361052	cytidine and dCMP deaminase domain-containing protein 1			APPROVED			protein-coding	ENSRNOG00000012209	PROVISIONAL	15	43686831	43715855	-	15	39865094	39894122	-
7704882	LOC102555817	dynein heavy chain 17, axonemal-like		3			q23	57228688	57236109	-										102555817		MODEL	AABR07072872;AAHX01022671;XM_006224489;XM_006224490;XM_006234363;XM_006234364;XM_008761956;XM_008761957;XM_008761958;XM_008775437;XM_008775438;XM_008775439;XR_001837141;XR_001842938		XP_006224551;XP_006224552;XP_006234425;XP_006234426;XP_008760178;XP_008760179;XP_008760180;XP_008773659;XP_008773660;XP_008773661					uncharacterized protein LOC102555817			PROVISIONAL			protein-coding		MODEL	3	65998106	66003963	-	3	59522339	59529760	-
7517141	LOC102546498	M-phase phosphoprotein 6-like				6	q24							103664039	103664517	-				102546498		MODEL	AABR07065010						LOC680776	similar to M phase phosphoprotein 6			PROVISIONAL			pseudo		MODEL	6	112089123	112090697	-	6	103913687	103915331	-
1594229	LOC680202	similar to DnaJ (Hsp40) homolog, subfamily B, member 6		17		17	q12.3	74289571	74290221	+				86028644	86029490	+				680202		MODEL	AAHX01092903										APPROVED			pseudo		MODEL	17	80552911	80553757	+				
7566877	LOC102550079	high mobility group protein B4-like		X		X		95747401	95747922	-				118871705	118872226	-				102550079									LOC100361981	high-mobility group box 4-like			PROVISIONAL			pseudo			X	101880377	101880898	-	X	102039009	102039530	-
1333120	Olr978-ps	olfactory receptor pseudogene 978	olfactory receptor pseudogene	7	7	7	q11	2742883	2743753	-	5674366	5675437	+	5674467	5675137	+	1303377	15057822		405529		REVIEWED	AABR07055527;AAHX01047279;NG_003793										APPROVED			pseudo		REVIEWED	7	4912577	4913447	+	7	4916386	4917256	+
9195374	LOC103694636	Y-linked testis-specific protein 1-like																		103694636		MODEL	AC240877;XM_008773745		XP_008771967					LOW QUALITY PROTEIN: Y-linked testis-specific protein 1			PROVISIONAL			protein-coding		MODEL								
9111333	LOC103692990	heat shock protein HSP 90-alpha pseudogene		7		7		108345468	108348349	+				118758896	118761054	+				103692990									LOC685833	similar to heat shock protein 1, alpha			PROVISIONAL			pseudo							7	121693770	121696651	+
1596656	LOC682635	similar to CG31855-PA		2			q21	69595960	69613078	+							6480464			682635		MODEL	AABR07008805;AAHX01014304;AAHX01014305										PROVISIONAL			pseudo		MODEL	2	94424357	94441288	+	2	74711906	74714279	+
